Probe Name	Prediction	Accession
MraZ.1	MraZ	A0A0X8FA25
MraZ.2	MraZ	A0A4R9CFB0
MraZ.3	MraZ	O07103
MraW.1	MraW	A0A1Q8J5U4
MraW.2	MraW	O07104
FtsL.1	FtsL	A0A5N1GIR9
FtsL.3	FtsL	H7C6Z7
FtsI.1	FtsI	A0A109RDA7
FtsI.2	FtsI	A0A0R2HW89
FtsI.3	FtsI	Q836V7
MurE.1	MurE	A0A109RDG7
MurE.2	MurE	Q838A4
MurF.1	MurF	A0A0X8FBD3
MurF.2	MurF	Q837J3
MraY.1	MraY	A0A120I916
MraY.2	MraY	O07107
MurD.1	MurD	A0A0X8FBJ8
MurD.2	MurD	O07108
FtsW.1	FtsW	A0A120I930
FtsW.2	FtsW	A0A109RFA6
FtsW.3	FtsW	A0A0R2I3G6
FtsW.4	FtsW	Q820U8
FtsW.5	FtsW	Q820U7
FtsW.6	FtsW	Q820T8
FtsW.7	FtsW	Q820T7
MurG.1	MurG	A0A109RD03
MurG.2	MurG	O07109
MurC.1	MurC	A0A0X8FDE7
MurC.2	MurC	Q833N6
MurB.1	MurB	A0A109RDI0
MurB.2	MurB	Q830P3
MurA.1	MurA	A0A0X8F9X4
MurA.2	MurA	A0A0X8FBG7
MurA.3	MurA	Q836E5
MurA.4	MurA	Q831A8
DdlB.1	DdlB	A0A0X8FBR4
DdlB.2	DdlB	A0A0R2HY47
DdlB.3	DdlB	Q47758
DdlB.4	DdlB	Q06893
FtsQ.1	FtsQ	A0A5N1GJB3
FtsQ.2	FtsQ	A0A2R8A1B4
FtsQ.3	FtsQ	Q836V6
FtsA.1	FtsA	A0A0X8FA97
FtsA.2	FtsA	O07111
FtsZ.1	FtsZ	A0A0X8FA00
FtsZ.2	FtsZ	O08439